Date,Store,Region,Product,Category,Units Sold,Revenue,Cost
2023-01-02,Store B,North,Apples,Produce,20,199.4,157.4
2023-01-02,Store B,East,Bananas,Produce,27,118.25999999999999,71.55
2023-01-02,Store B,North,Chicken,Meat,26,235.3,177.84
2023-01-02,Store B,North,Beef,Meat,21,49.559999999999995,34.65
2023-01-02,Store C,North,Milk,Dairy,17,95.71,60.69
2023-01-02,Store C,East,Bread,Bakery,16,56.32,33.6
2023-01-02,Store C,South,Eggs,Dairy,23,140.53,91.77000000000001
2023-01-02,Store C,South,Butter,Dairy,17,166.09,102.68
2023-01-02,Store C,East,Apples,Produce,27,120.96000000000001,83.97
2023-01-02,Store C,East,Bananas,Produce,20,152.79999999999998,89.2
2023-01-02,Store C,South,Chicken,Meat,24,238.79999999999998,153.12
2023-01-02,Store C,North,Beef,Meat,27,44.01,34.29
2023-01-03,Store A,North,Milk,Dairy,21,206.43,107.94
2023-01-03,Store A,North,Bread,Bakery,18,75.42,41.58
2023-01-03,Store A,South,Eggs,Dairy,19,178.79,93.10000000000001
2023-01-03,Store A,North,Butter,Dairy,14,125.44000000000001,90.58
2023-01-03,Store A,South,Apples,Produce,14,86.8,51.1
2023-01-03,Store A,North,Bananas,Produce,27,155.51999999999998,115.02
2023-01-03,Store A,East,Chicken,Meat,12,23.16,17.759999999999998
2023-01-03,Store A,North,Beef,Meat,18,115.56,59.04
2023-01-03,Store B,North,Milk,Dairy,16,65.28,43.2
2023-01-03,Store B,South,Bread,Bakery,20,66.6,45.8
2023-01-03,Store B,South,Eggs,Dairy,20,153.4,121.6
2023-01-03,Store B,East,Butter,Dairy,17,64.6,40.8
2023-01-03,Store B,North,Apples,Produce,16,35.04,22.08
2023-01-03,Store B,North,Bananas,Produce,19,43.699999999999996,24.32
2023-01-03,Store B,South,Chicken,Meat,23,154.1,96.37
2023-01-03,Store B,North,Beef,Meat,18,29.160000000000004,15.66
2023-01-03,Store C,South,Milk,Dairy,13,127.79,70.59
2023-01-03,Store C,South,Bread,Bakery,18,126.35999999999999,64.98
2023-01-03,Store C,South,Eggs,Dairy,22,102.96,70.84
2023-01-03,Store C,East,Butter,Dairy,20,146.2,100.19999999999999
2023-01-03,Store C,South,Apples,Produce,29,200.39000000000001,148.48
2023-01-03,Store C,East,Bananas,Produce,21,176.4,131.67
2023-01-03,Store C,East,Chicken,Meat,25,81.5,47.5
2023-01-03,Store C,South,Beef,Meat,18,121.67999999999999,73.08
2023-01-04,Store A,North,Milk,Dairy,17,28.9,21.59
2023-01-04,Store A,North,Bread,Bakery,20,89.2,69.6
2023-01-04,Store A,East,Eggs,Dairy,24,72.24,52.32000000000001
2023-01-04,Store A,North,Butter,Dairy,18,79.2,61.74
2023-01-04,Store A,South,Apples,Produce,16,124.64,71.2
2023-01-04,Store A,East,Bananas,Produce,27,230.04,137.16
2023-01-04,Store A,North,Chicken,Meat,13,125.45,94.64
2023-01-04,Store A,East,Beef,Meat,30,206.1,130.8
2023-01-04,Store B,North,Milk,Dairy,21,69.51,54.39
2023-01-04,Store B,South,Bread,Bakery,14,136.92,109.33999999999999
2023-01-04,Store B,North,Eggs,Dairy,19,85.12,45.6
2023-01-04,Store B,North,Butter,Dairy,24,56.64,29.759999999999998
2023-01-04,Store B,North,Apples,Produce,16,145.28,79.04
2023-01-04,Store B,North,Bananas,Produce,18,151.38,118.62
2023-01-04,Store B,South,Chicken,Meat,21,157.92,101.85
2023-01-04,Store B,North,Beef,Meat,23,99.13,62.56
2023-01-04,Store C,North,Milk,Dairy,11,27.5,19.14
2023-01-04,Store C,North,Bread,Bakery,22,107.80000000000001,69.3
2023-01-04,Store C,North,Eggs,Dairy,26,251.94,126.88
2023-01-04,Store C,North,Butter,Dairy,12,116.88,76.80000000000001
2023-01-04,Store C,East,Apples,Produce,16,159.36,112.96
2023-01-04,Store C,South,Bananas,Produce,27,105.03,82.35
2023-01-04,Store C,South,Chicken,Meat,19,73.34,40.85
2023-01-04,Store C,East,Beef,Meat,18,67.67999999999999,41.22
2023-01-05,Store A,North,Milk,Dairy,23,94.99,70.61
2023-01-05,Store A,North,Bread,Bakery,14,132.86,83.02
2023-01-05,Store A,North,Eggs,Dairy,21,198.03,150.57
2023-01-05,Store A,East,Butter,Dairy,15,121.64999999999999,78.3
2023-01-05,Store A,East,Apples,Produce,15,71.10000000000001,56.25
2023-01-05,Store A,North,Bananas,Produce,21,38.01,20.58
2023-01-05,Store A,East,Chicken,Meat,25,133.25,71.75
2023-01-05,Store A,South,Beef,Meat,17,152.32000000000002,110.67
2023-01-05,Store B,South,Milk,Dairy,18,129.78,85.14000000000001
2023-01-05,Store B,South,Bread,Bakery,25,211.0,166.75
2023-01-05,Store B,East,Eggs,Dairy,26,68.64,34.84
2023-01-05,Store B,South,Butter,Dairy,24,200.16,154.32
2023-01-05,Store B,East,Apples,Produce,18,86.94,54.9
2023-01-05,Store B,South,Bananas,Produce,23,122.59,94.76
2023-01-05,Store B,North,Chicken,Meat,30,281.40000000000003,182.10000000000002
2023-01-05,Store B,North,Beef,Meat,18,63.72,33.300000000000004
2023-01-05,Store C,North,Milk,Dairy,19,93.10000000000001,66.12
2023-01-05,Store C,South,Bread,Bakery,27,193.59,106.92
2023-01-05,Store C,South,Eggs,Dairy,16,70.88,42.88
2023-01-05,Store C,South,Butter,Dairy,13,70.46,39.65
2023-01-05,Store C,East,Apples,Produce,14,59.220000000000006,31.22
2023-01-05,Store C,North,Bananas,Produce,22,196.45999999999998,152.45999999999998
2023-01-05,Store C,South,Chicken,Meat,12,118.56,78.36
2023-01-05,Store C,South,Beef,Meat,16,96.32,68.96
2023-01-06,Store A,East,Milk,Dairy,20,48.2,30.6
2023-01-06,Store A,East,Bread,Bakery,19,147.63,81.88999999999999
2023-01-06,Store A,North,Eggs,Dairy,17,72.76,38.93
2023-01-06,Store A,South,Butter,Dairy,18,81.35999999999999,56.52
2023-01-06,Store A,North,Apples,Produce,13,84.37,61.1
2023-01-06,Store A,South,Bananas,Produce,21,91.77,70.56
2023-01-06,Store A,North,Chicken,Meat,16,68.96,53.76
2023-01-06,Store A,East,Beef,Meat,13,46.67,25.61
2023-01-06,Store B,East,Milk,Dairy,13,25.61,19.24
2023-01-06,Store B,South,Bread,Bakery,20,197.0,105.19999999999999
2023-01-06,Store B,South,Eggs,Dairy,21,32.550000000000004,25.83
2023-01-06,Store B,South,Butter,Dairy,15,141.0,94.05
2023-01-06,Store B,East,Apples,Produce,17,52.53,31.450000000000003
2023-01-06,Store B,South,Bananas,Produce,16,96.0,68.32
2023-01-06,Store B,East,Chicken,Meat,17,47.77,30.77
2023-01-06,Store B,South,Beef,Meat,21,112.56,74.76
2023-01-06,Store C,East,Milk,Dairy,25,182.25,132.75
2023-01-06,Store C,North,Bread,Bakery,20,165.0,87.8
2023-01-06,Store C,East,Eggs,Dairy,14,132.72,73.64
2023-01-06,Store C,East,Butter,Dairy,28,53.48,39.199999999999996
2023-01-06,Store C,North,Apples,Produce,24,69.36,38.160000000000004
2023-01-06,Store C,South,Bananas,Produce,16,147.52,87.68
2023-01-06,Store C,East,Chicken,Meat,18,94.14000000000001,57.78
2023-01-06,Store C,North,Beef,Meat,22,115.06,77.44
2023-01-07,Store A,East,Milk,Dairy,27,165.24,127.44
2023-01-07,Store A,South,Bread,Bakery,21,90.93,65.31
2023-01-07,Store A,South,Eggs,Dairy,22,200.2,147.4
2023-01-07,Store A,South,Butter,Dairy,24,194.88,105.84
2023-01-07,Store A,North,Apples,Produce,23,181.93,96.60000000000001
2023-01-07,Store A,East,Bananas,Produce,14,115.91999999999999,63.14
2023-01-07,Store A,South,Chicken,Meat,19,30.400000000000002,20.71
2023-01-07,Store A,South,Beef,Meat,16,48.64,37.6
2023-01-07,Store B,South,Milk,Dairy,16,63.2,43.2
2023-01-07,Store B,East,Bread,Bakery,21,140.70000000000002,71.19
2023-01-07,Store B,East,Eggs,Dairy,28,207.76,161.28
2023-01-07,Store B,North,Butter,Dairy,15,99.9,62.699999999999996
2023-01-07,Store B,South,Apples,Produce,27,94.77,52.11
2023-01-07,Store B,East,Bananas,Produce,25,103.75000000000001,59.0
2023-01-07,Store B,North,Chicken,Meat,19,82.64999999999999,61.18000000000001
2023-01-07,Store B,South,Beef,Meat,21,105.41999999999999,80.01
2023-01-07,Store C,East,Milk,Dairy,18,139.85999999999999,88.92
2023-01-07,Store C,North,Bread,Bakery,16,46.56,23.68
2023-01-07,Store C,North,Eggs,Dairy,18,123.66,62.28
2023-01-07,Store C,North,Butter,Dairy,19,167.58,110.77
2023-01-07,Store C,East,Apples,Produce,17,82.96,52.02
2023-01-07,Store C,East,Bananas,Produce,18,122.58,75.24
2023-01-07,Store C,South,Chicken,Meat,19,99.75,61.94
2023-01-07,Store C,East,Beef,Meat,24,104.16,54.480000000000004
2023-01-08,Store A,East,Milk,Dairy,18,125.46,78.12
2023-01-08,Store A,East,Bread,Bakery,26,160.94,92.82
2023-01-08,Store A,East,Eggs,Dairy,22,52.36,38.72
2023-01-08,Store A,South,Butter,Dairy,26,198.38,147.16
2023-01-08,Store A,South,Apples,Produce,21,203.28,159.18
2023-01-08,Store A,East,Bananas,Produce,16,145.92,73.6
2023-01-08,Store A,North,Chicken,Meat,14,97.44,69.3
2023-01-08,Store A,East,Beef,Meat,25,92.75,56.99999999999999
2023-01-08,Store B,East,Milk,Dairy,18,82.44,62.46
2023-01-08,Store B,East,Bread,Bakery,20,166.0,104.2
2023-01-08,Store B,North,Eggs,Dairy,20,148.8,92.4
2023-01-08,Store B,North,Butter,Dairy,15,24.9,19.35
2023-01-08,Store B,South,Apples,Produce,25,51.74999999999999,32.25
2023-01-08,Store B,North,Bananas,Produce,25,39.75,21.5
2023-01-08,Store B,North,Chicken,Meat,17,61.71,42.5
2023-01-08,Store B,South,Beef,Meat,19,112.29,57.76
2023-01-08,Store C,North,Milk,Dairy,23,152.49,87.39999999999999
2023-01-08,Store C,East,Bread,Bakery,25,231.99999999999997,166.25
2023-01-08,Store C,North,Eggs,Dairy,30,288.29999999999995,155.70000000000002
2023-01-08,Store C,North,Butter,Dairy,17,48.96,36.89
2023-01-08,Store C,North,Apples,Produce,20,86.8,63.4
2023-01-08,Store C,South,Bananas,Produce,18,90.17999999999999,64.08
2023-01-08,Store C,East,Chicken,Meat,19,41.040000000000006,20.520000000000003
2023-01-08,Store C,East,Beef,Meat,17,77.69,40.97
2023-01-09,Store A,East,Milk,Dairy,23,51.52,40.48
2023-01-09,Store A,South,Bread,Bakery,23,163.29999999999998,115.46
2023-01-09,Store A,South,Eggs,Dairy,22,42.68,29.92
2023-01-09,Store A,East,Butter,Dairy,21,87.36,46.83
2023-01-09,Store A,South,Apples,Produce,20,173.6,103.4
2023-01-09,Store A,North,Bananas,Produce,22,101.19999999999999,67.53999999999999
2023-01-09,Store A,East,Chicken,Meat,12,52.67999999999999,37.8
2023-01-09,Store A,South,Beef,Meat,17,139.74,83.30000000000001
2023-01-09,Store B,East,Milk,Dairy,20,179.0,112.0
2023-01-09,Store B,East,Bread,Bakery,26,232.18,152.88
2023-01-09,Store B,South,Eggs,Dairy,12,23.4,12.36
2023-01-09,Store B,South,Butter,Dairy,20,178.6,142.0
2023-01-09,Store B,North,Apples,Produce,13,77.22,55.50999999999999
2023-01-09,Store B,South,Bananas,Produce,13,51.22,30.159999999999997
2023-01-09,Store B,East,Chicken,Meat,21,194.04,99.75
2023-01-09,Store B,North,Beef,Meat,18,60.48,47.52
2023-01-09,Store C,East,Milk,Dairy,17,167.45,128.18
2023-01-09,Store C,South,Bread,Bakery,23,112.93,84.87
2023-01-09,Store C,South,Eggs,Dairy,21,72.66,40.11
2023-01-09,Store C,North,Butter,Dairy,22,130.02,88.22
2023-01-09,Store C,East,Apples,Produce,15,119.25,84.6
2023-01-09,Store C,North,Bananas,Produce,25,85.0,56.25
2023-01-09,Store C,East,Chicken,Meat,19,72.58,46.74
2023-01-09,Store C,East,Beef,Meat,25,154.5,81.25
2023-01-10,Store A,North,Milk,Dairy,10,96.8,51.6
2023-01-10,Store A,South,Bread,Bakery,26,239.46000000000004,160.68
2023-01-10,Store A,North,Eggs,Dairy,21,162.54,106.68
2023-01-10,Store A,North,Butter,Dairy,15,65.1,37.2
2023-01-10,Store A,East,Apples,Produce,22,173.8,95.26
2023-01-10,Store A,East,Bananas,Produce,31,278.07,139.5
2023-01-10,Store A,East,Chicken,Meat,24,75.36,39.599999999999994
2023-01-10,Store A,South,Beef,Meat,17,103.53,75.99
2023-01-10,Store B,East,Milk,Dairy,17,87.89,66.13
2023-01-10,Store B,South,Bread,Bakery,28,265.16,187.32000000000002
2023-01-10,Store B,South,Eggs,Dairy,30,241.50000000000003,172.20000000000002
2023-01-10,Store B,East,Butter,Dairy,18,34.019999999999996,25.919999999999998
2023-01-10,Store B,South,Apples,Produce,14,23.939999999999998,12.18
2023-01-10,Store B,South,Bananas,Produce,18,65.7,32.94
2023-01-10,Store B,North,Chicken,Meat,19,54.910000000000004,40.47
2023-01-10,Store B,East,Beef,Meat,17,137.19,78.03
2023-01-10,Store C,East,Milk,Dairy,15,142.79999999999998,89.4
2023-01-10,Store C,South,Bread,Bakery,19,80.37,57.56999999999999
2023-01-10,Store C,East,Eggs,Dairy,16,112.64,68.8
2023-01-10,Store C,North,Butter,Dairy,20,57.0,32.0
2023-01-10,Store C,North,Apples,Produce,25,170.5,92.0
2023-01-10,Store C,South,Bananas,Produce,15,22.65,15.450000000000001
2023-01-10,Store C,East,Chicken,Meat,22,70.4,45.54
2023-01-10,Store C,North,Beef,Meat,22,143.44,90.42
2023-01-11,Store A,East,Milk,Dairy,14,101.92,63.0
2023-01-11,Store A,South,Bread,Bakery,21,155.61,118.02
2023-01-11,Store A,North,Eggs,Dairy,27,212.49,115.56
2023-01-11,Store A,North,Butter,Dairy,21,117.6,66.14999999999999
2023-01-11,Store A,North,Apples,Produce,21,89.66999999999999,58.8
2023-01-11,Store A,East,Bananas,Produce,26,221.26,134.42
2023-01-11,Store A,South,Chicken,Meat,14,103.04,76.3
2023-01-11,Store A,North,Beef,Meat,30,273.59999999999997,185.70000000000002
2023-01-11,Store B,East,Milk,Dairy,23,100.97,75.21
2023-01-11,Store B,East,Bread,Bakery,22,144.76,106.47999999999999
2023-01-11,Store B,South,Eggs,Dairy,22,169.84,89.1
2023-01-11,Store B,East,Butter,Dairy,21,116.97,80.01
2023-01-11,Store B,South,Apples,Produce,15,106.5,69.15
2023-01-11,Store B,East,Bananas,Produce,18,102.42,53.64
2023-01-11,Store B,North,Chicken,Meat,22,38.72,22.44
2023-01-11,Store B,South,Beef,Meat,23,102.12,62.33
2023-01-11,Store C,South,Milk,Dairy,26,135.98000000000002,97.5
2023-01-11,Store C,South,Bread,Bakery,21,148.47,118.44
2023-01-11,Store C,East,Eggs,Dairy,27,183.6,126.63000000000001
2023-01-11,Store C,South,Butter,Dairy,16,79.2,53.92
2023-01-11,Store C,East,Apples,Produce,20,178.0,112.8
2023-01-11,Store C,North,Bananas,Produce,18,52.02,32.04
2023-01-11,Store C,North,Chicken,Meat,19,30.020000000000003,20.330000000000002
2023-01-11,Store C,South,Beef,Meat,16,144.16,91.2
2023-01-12,Store A,East,Milk,Dairy,19,52.06,33.06
2023-01-12,Store A,East,Bread,Bakery,30,136.5,83.7
2023-01-12,Store A,East,Eggs,Dairy,23,127.19000000000001,95.91
2023-01-12,Store A,South,Butter,Dairy,26,63.7,36.92
2023-01-12,Store A,East,Apples,Produce,14,27.16,18.76
2023-01-12,Store A,South,Bananas,Produce,19,79.61000000000001,51.87
2023-01-12,Store A,South,Chicken,Meat,23,128.34,90.62
2023-01-12,Store A,East,Beef,Meat,30,266.40000000000003,169.5
2023-01-12,Store B,South,Milk,Dairy,20,120.39999999999999,64.80000000000001
2023-01-12,Store B,South,Bread,Bakery,17,54.74,38.419999999999995
2023-01-12,Store B,East,Eggs,Dairy,15,42.45,24.150000000000002
2023-01-12,Store B,South,Butter,Dairy,15,129.29999999999998,101.25
2023-01-12,Store B,North,Apples,Produce,24,198.24,153.84
2023-01-12,Store B,South,Bananas,Produce,16,77.6,53.92
2023-01-12,Store B,North,Chicken,Meat,18,119.52,71.10000000000001
2023-01-12,Store B,North,Beef,Meat,19,154.85,103.74
2023-01-12,Store C,East,Milk,Dairy,13,104.0,80.86
2023-01-12,Store C,East,Bread,Bakery,24,198.71999999999997,125.28
2023-01-12,Store C,North,Eggs,Dairy,18,126.35999999999999,75.60000000000001
2023-01-12,Store C,North,Butter,Dairy,18,133.38,82.26
2023-01-12,Store C,East,Apples,Produce,21,110.88000000000001,55.86
2023-01-12,Store C,East,Bananas,Produce,21,142.17,90.93
2023-01-12,Store C,North,Chicken,Meat,20,174.0,134.8
2023-01-12,Store C,East,Beef,Meat,18,88.02,59.4
2023-01-13,Store A,East,Milk,Dairy,19,149.15,106.59
2023-01-13,Store A,North,Bread,Bakery,27,253.26000000000002,131.22
2023-01-13,Store A,North,Eggs,Dairy,20,58.2,39.8
2023-01-13,Store A,South,Butter,Dairy,17,141.61,93.67
2023-01-13,Store A,North,Apples,Produce,21,80.22,49.98
2023-01-13,Store A,East,Bananas,Produce,20,176.20000000000002,130.39999999999998
2023-01-13,Store A,South,Chicken,Meat,23,145.36,83.95
2023-01-13,Store A,East,Beef,Meat,24,44.88,30.96
2023-01-13,Store B,South,Milk,Dairy,20,165.0,114.60000000000001
2023-01-13,Store B,East,Bread,Bakery,18,144.71999999999997,96.48
2023-01-13,Store B,South,Eggs,Dairy,24,203.76,127.68
2023-01-13,Store B,South,Butter,Dairy,14,39.199999999999996,22.400000000000002
2023-01-13,Store B,East,Apples,Produce,20,60.4,35.8
2023-01-13,Store B,North,Bananas,Produce,21,72.87,44.940000000000005
2023-01-13,Store B,South,Chicken,Meat,11,42.13,28.6
2023-01-13,Store B,East,Beef,Meat,19,144.4,102.22
2023-01-13,Store C,East,Milk,Dairy,18,119.34,71.82000000000001
2023-01-13,Store C,North,Bread,Bakery,24,167.52,113.76
2023-01-13,Store C,North,Eggs,Dairy,17,76.83999999999999,39.95
2023-01-13,Store C,South,Butter,Dairy,25,52.25,36.25
2023-01-13,Store C,South,Apples,Produce,21,72.66,46.2
2023-01-13,Store C,South,Bananas,Produce,22,169.62,108.46
2023-01-13,Store C,South,Chicken,Meat,15,48.15,31.8
2023-01-13,Store C,East,Beef,Meat,19,28.69,16.91
2023-01-14,Store A,North,Milk,Dairy,28,136.92,74.75999999999999
2023-01-14,Store A,South,Bread,Bakery,23,82.11,57.5
2023-01-14,Store A,South,Eggs,Dairy,16,141.6,96.64
2023-01-14,Store A,North,Butter,Dairy,15,37.5,21.299999999999997
2023-01-14,Store A,East,Apples,Produce,18,170.28000000000003,113.39999999999999
2023-01-14,Store A,South,Bananas,Produce,25,237.75,181.25
2023-01-14,Store A,South,Chicken,Meat,28,278.03999999999996,210.0
2023-01-14,Store A,South,Beef,Meat,20,121.8,83.80000000000001
2023-01-14,Store B,North,Milk,Dairy,24,98.16,51.36
2023-01-14,Store B,North,Bread,Bakery,21,87.57,59.64
2023-01-14,Store B,North,Eggs,Dairy,21,62.790000000000006,40.949999999999996
2023-01-14,Store B,North,Butter,Dairy,25,63.24999999999999,40.75
2023-01-14,Store B,North,Apples,Produce,16,129.6,69.6
2023-01-14,Store B,South,Bananas,Produce,17,25.5,12.92
2023-01-14,Store B,South,Chicken,Meat,22,44.44,32.56
2023-01-14,Store B,East,Beef,Meat,16,126.56,86.88
2023-01-14,Store C,North,Milk,Dairy,14,57.120000000000005,30.240000000000002
2023-01-14,Store C,South,Bread,Bakery,25,102.49999999999999,70.5
2023-01-14,Store C,North,Eggs,Dairy,19,171.76,109.06
2023-01-14,Store C,North,Butter,Dairy,18,100.62,55.62
2023-01-14,Store C,South,Apples,Produce,24,120.96000000000001,78.0
2023-01-14,Store C,North,Bananas,Produce,24,174.96,97.44
2023-01-14,Store C,South,Chicken,Meat,16,56.8,44.96
2023-01-14,Store C,East,Beef,Meat,11,51.260000000000005,29.700000000000003
2023-01-15,Store A,South,Milk,Dairy,19,44.27,28.69
2023-01-15,Store A,North,Bread,Bakery,18,99.89999999999999,61.199999999999996
2023-01-15,Store A,North,Eggs,Dairy,19,172.52,135.66
2023-01-15,Store A,North,Butter,Dairy,25,96.75,75.5
2023-01-15,Store A,North,Apples,Produce,25,119.5,76.0
2023-01-15,Store A,North,Bananas,Produce,21,124.11,67.62
2023-01-15,Store A,North,Chicken,Meat,19,34.58,25.080000000000002
2023-01-15,Store A,North,Beef,Meat,12,19.200000000000003,15.120000000000001
2023-01-15,Store B,East,Milk,Dairy,18,178.74,141.48000000000002
2023-01-15,Store B,South,Bread,Bakery,22,65.56,34.760000000000005
2023-01-15,Store B,North,Eggs,Dairy,25,127.75000000000001,67.0
2023-01-15,Store B,South,Butter,Dairy,17,115.77,71.23
2023-01-15,Store B,East,Apples,Produce,17,164.22,105.74
2023-01-15,Store B,South,Bananas,Produce,21,165.06,122.64
2023-01-15,Store B,North,Chicken,Meat,14,131.46,74.62
2023-01-15,Store B,South,Beef,Meat,18,86.39999999999999,47.52
2023-01-15,Store C,North,Milk,Dairy,28,160.16,80.64
2023-01-15,Store C,North,Bread,Bakery,17,149.94,113.05000000000001
2023-01-15,Store C,South,Eggs,Dairy,21,70.98,56.28
2023-01-15,Store C,South,Butter,Dairy,23,162.84,90.16
2023-01-15,Store C,South,Apples,Produce,24,146.16,104.88
2023-01-15,Store C,East,Bananas,Produce,14,118.29999999999998,66.78
2023-01-15,Store C,North,Chicken,Meat,15,75.14999999999999,54.6
2023-01-15,Store C,East,Beef,Meat,20,126.0,89.0
2023-01-16,Store A,South,Milk,Dairy,21,108.99000000000001,59.85
2023-01-16,Store A,South,Bread,Bakery,13,107.9,60.58
2023-01-16,Store A,North,Eggs,Dairy,23,154.79000000000002,109.25
2023-01-16,Store A,North,Butter,Dairy,20,174.20000000000002,131.0
2023-01-16,Store A,South,Apples,Produce,24,190.32,143.28
2023-01-16,Store A,East,Bananas,Produce,18,137.51999999999998,105.3
2023-01-16,Store A,South,Chicken,Meat,14,21.28,11.76
2023-01-16,Store A,East,Beef,Meat,22,181.5,95.92
2023-01-16,Store B,South,Milk,Dairy,26,198.9,105.55999999999999
2023-01-16,Store B,South,Bread,Bakery,21,139.23,97.86
2023-01-16,Store B,East,Eggs,Dairy,21,89.04,61.53
2023-01-16,Store B,East,Butter,Dairy,11,89.87,64.02000000000001
2023-01-16,Store B,North,Apples,Produce,25,116.75,62.74999999999999
2023-01-16,Store B,East,Bananas,Produce,19,64.22,43.699999999999996
2023-01-16,Store B,South,Chicken,Meat,24,97.19999999999999,53.760000000000005
2023-01-16,Store B,South,Beef,Meat,22,55.22,34.32
2023-01-16,Store C,North,Milk,Dairy,23,220.34,123.51
2023-01-16,Store C,East,Bread,Bakery,23,149.27,105.8
2023-01-16,Store C,North,Eggs,Dairy,17,151.64,114.07
2023-01-16,Store C,South,Butter,Dairy,20,189.4,134.8
2023-01-16,Store C,South,Apples,Produce,20,154.0,112.4
2023-01-16,Store C,North,Bananas,Produce,16,78.24,60.8
2023-01-16,Store C,East,Chicken,Meat,31,61.38,35.96
2023-01-16,Store C,North,Beef,Meat,16,127.2,80.8
2023-01-17,Store A,South,Milk,Dairy,17,148.75,76.5
2023-01-17,Store A,East,Bread,Bakery,27,162.81,101.52
2023-01-17,Store A,East,Eggs,Dairy,13,100.49000000000001,66.82
2023-01-17,Store A,South,Butter,Dairy,26,222.03999999999996,163.54
2023-01-17,Store A,East,Apples,Produce,16,50.88,34.08
2023-01-17,Store A,East,Bananas,Produce,33,55.769999999999996,39.93
2023-01-17,Store A,South,Chicken,Meat,21,52.08,39.48
2023-01-17,Store A,South,Beef,Meat,20,123.4,84.39999999999999
2023-01-17,Store B,North,Milk,Dairy,19,55.290000000000006,43.31999999999999
2023-01-17,Store B,South,Bread,Bakery,22,110.0,76.56
2023-01-17,Store B,East,Eggs,Dairy,17,41.650000000000006,25.33
2023-01-17,Store B,South,Butter,Dairy,16,46.4,27.84
2023-01-17,Store B,South,Apples,Produce,24,61.67999999999999,42.96
2023-01-17,Store B,East,Bananas,Produce,16,157.92,115.52
2023-01-17,Store B,South,Chicken,Meat,21,92.82,54.18
2023-01-17,Store B,South,Beef,Meat,20,141.6,105.8
2023-01-17,Store C,North,Milk,Dairy,13,41.08,22.88
2023-01-17,Store C,South,Bread,Bakery,21,173.88,107.52
2023-01-17,Store C,East,Eggs,Dairy,20,148.4,109.60000000000001
2023-01-17,Store C,South,Butter,Dairy,21,191.73000000000002,105.63000000000001
2023-01-17,Store C,East,Apples,Produce,14,42.98,33.04
2023-01-17,Store C,North,Bananas,Produce,17,165.41,125.29
2023-01-17,Store C,East,Chicken,Meat,24,233.28000000000003,145.92000000000002
2023-01-17,Store C,South,Beef,Meat,14,59.5,47.6
2023-01-18,Store A,North,Milk,Dairy,19,30.590000000000003,20.520000000000003
2023-01-18,Store A,North,Bread,Bakery,16,156.32,93.92
2023-01-18,Store A,East,Eggs,Dairy,25,188.5,112.00000000000001
2023-01-18,Store A,South,Butter,Dairy,27,112.59,64.8
2023-01-18,Store A,South,Apples,Produce,25,74.5,53.25
2023-01-18,Store A,East,Bananas,Produce,13,35.23,21.32
